iter	MultiClass
0	0.8257970819
1	0.6239949856
2	0.4951864652
3	0.4117222721
4	0.343451439
5	0.2903269338
6	0.2476289866
7	0.2147597953
8	0.1902544456
9	0.1741928191
10	0.1579273798
11	0.1466244605
12	0.1351564316
13	0.1235477807
14	0.1134022067
15	0.1054992773
16	0.09829277455
17	0.09209270993
18	0.08671904352
19	0.07965968845
20	0.07511931733
21	0.07175900115
22	0.06693769568
23	0.06299834844
24	0.0600285309
25	0.05696710082
26	0.05383600804
27	0.05116554645
28	0.04899559138
29	0.0468305168
30	0.04508987365
31	0.04351518965
32	0.04098401078
33	0.03881063699
34	0.03778707882
35	0.03627784324
36	0.03504551759
37	0.03381535711
38	0.0326956148
39	0.03167294648
40	0.03076398656
41	0.02975952452
42	0.02875967169
43	0.02749189288
44	0.02690305116
45	0.02639020024
46	0.02531109661
47	0.02473451245
48	0.0241162931
49	0.0234389975
50	0.02291851045
51	0.02253774687
52	0.02197164745
53	0.02127614182
54	0.02089476148
55	0.02052280622
56	0.01994048884
57	0.01951568
58	0.01923210235
59	0.01885659068
60	0.01849544414
61	0.01810035613
62	0.01783157202
63	0.01736091397
64	0.01688822198
65	0.01663569679
66	0.01640159437
67	0.01597517914
68	0.01577152597
69	0.01545390403
70	0.0150420643
71	0.01487495431
72	0.01459469578
73	0.014367131
74	0.01415833822
75	0.01396032791
76	0.01378755052
77	0.0135094931
78	0.01334661217
79	0.01304579887
80	0.01281810192
81	0.01265033893
82	0.01254691407
83	0.012308029
84	0.01218974787
85	0.01206640384
86	0.01193568623
87	0.01178766421
88	0.01166545522
89	0.01154840565
90	0.0114043574
91	0.01127243984
92	0.01111522219
93	0.01098588207
94	0.01084994061
95	0.01072880088
96	0.01062424583
97	0.01053011793
98	0.01034071846
99	0.01022960122
100	0.01010069211
101	0.009991785705
102	0.009865692066
103	0.009744059607
104	0.009656607282
105	0.009560055276
106	0.009498511311
107	0.009398203735
108	0.009321656384
109	0.009231614913
110	0.009147595083
111	0.009051338478
112	0.008959389306
113	0.008881857549
114	0.008806893491
115	0.008731946495
116	0.00863360125
117	0.008540995914
118	0.008471453658
119	0.008419358364
120	0.008320009661
121	0.008255252283
122	0.008156165087
123	0.008095413794
124	0.008025669989
125	0.007960101806
126	0.007873808878
127	0.007804207714
128	0.007740702614
129	0.007681829926
130	0.007614560654
131	0.007551251417
132	0.007485061436
133	0.007415572822
134	0.007351612348
135	0.007313483824
136	0.007268632684
137	0.007208680586
138	0.007168024229
139	0.007112600798
140	0.007047934819
141	0.006996794994
142	0.006924309163
143	0.00685830883
144	0.006795416015
145	0.00675086856
146	0.006687915163
147	0.00664132159
148	0.006603205521
149	0.006550386301
150	0.006497943624
151	0.006461479543
152	0.006426721244
153	0.006375887874
154	0.006311189591
155	0.006271724247
156	0.006217828302
157	0.006178408551
158	0.006130318794
159	0.006101507905
160	0.006069886762
161	0.006042634773
162	0.006004817537
163	0.005982520279
164	0.005946980312
165	0.005914278347
166	0.005882809351
167	0.005835794986
168	0.005803362842
169	0.005763594884
170	0.005728903863
171	0.005678025107
172	0.005644724178
173	0.005610070637
174	0.005573503992
175	0.005547307603
176	0.005518326124
177	0.005496784783
178	0.005462020614
179	0.005422283308
180	0.005375732705
181	0.005352230428
182	0.00532449268
183	0.005300751342
184	0.005273408033
185	0.005241137088
186	0.005215362798
187	0.005188868411
188	0.005148184569
189	0.00511324083
190	0.005086378383
191	0.005055283733
192	0.005018766032
193	0.004987477752
194	0.004959754796
195	0.004922596701
196	0.004901443872
197	0.004879985047
198	0.004851694357
199	0.004830490867
